상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,분기코드,행정동코드
2110432,31946,25567,6379,4736,5019,5105,5356,5351,3161,3218,283,1826,15729,4321,8059,1507,17058,10931,485,4033,4486,6503,6848,5638,1257512946,973681589,283831357,169681578,194333877,170837879,219595589,219232666,147966643,135864714,6583529,39252014,470010959,158976350,471836585,108434914,507812891,285605518,5684631,71547254,134742354,210864287,190383153,180196733,43,288206,138732,149474,56858,62828,28760,36766,44794,58200,67010,61510,41901,40204,46659,30925,41725,41654,41653,41473,40838,40493,40372,894,12,1,0,0,0,0,0,0,0,0,33148,320887,170380,207105,288619,136786,1156925,2,11350611
2110433,22720,16042,6678,3145,3329,3116,2927,3525,3849,3624,105,681,5450,4641,9083,2744,10216,11708,574,8449,4824,3069,2930,2075,463192738,341223999,121968739,60701332,67901432,68873348,67495563,76252324,79409639,63526376,1358190,6059081,100577916,72394186,215551614,67048680,222399697,204388662,7332213,131681564,88365398,64232807,66527943,68648433,35,1574714,791327,783388,219287,474080,199010,182619,175020,324697,487846,314938,157759,153705,241520,218945,221876,221808,223365,223596,223856,229368,230845,401,5,0,0,0,0,0,0,0,0,0,46053,307494,169456,200287,299008,129320,1151618,2,11350595
2110434,5696,4181,1515,972,818,892,666,833,804,711,65,264,1476,936,1642,1106,3469,1745,36,1109,1489,853,1061,666,115754053,87861863,27892190,26731302,14633946,16764409,15475785,14256421,15224482,12667708,2000713,3278248,28684406,9904133,35914253,27202903,67381805,31161425,409916,12881237,31859227,18917046,18736893,15738911,16,549112,253682,295431,65291,122244,80499,68648,82213,130215,147031,114203,60350,61104,94190,72234,78678,78039,77799,78123,77843,79078,79551,121,4,0,1,0,0,0,0,0,0,0,137657,1153097,675173,774470,1176442,451445,4368284,2,11350595
2110435,136054,97876,38178,17908,21268,20098,19155,19447,20653,17525,1455,9738,40169,24724,45520,14448,67621,65152,6855,53838,21355,21888,24328,4507,1912605189,1365090890,547514299,232056338,281085222,272764516,282084743,297100071,331845735,215668564,67679578,62548734,465559145,223432137,730519446,362866149,953086869,793706079,64572441,739926717,291458617,278804650,313343561,58686964,50,73990,38306,35684,13626,19359,9296,8859,9083,13768,21012,15087,8614,8386,10968,9923,10972,11252,11139,11040,10687,9430,9472,73,2,0,0,0,0,0,0,0,0,0,32104,308305,153905,186705,247169,108911,1037099,2,11350600
2110436,54031,34292,19739,6446,6245,7289,6664,7648,10192,9547,1963,3294,13656,9310,20165,5643,30256,21756,299,4121,8079,14340,14948,10227,1989178951,1124931431,864247520,235584332,194396412,205649669,231419521,257881497,479156347,385091173,51181502,42647802,362981126,294203155,981429422,256735944,1060949133,674719022,3634237,108139374,254903914,495342955,505552249,368095427,14,344772,156878,187894,71538,35869,30465,52598,55126,99176,101911,67879,37079,37189,53237,47477,49263,48980,48772,48636,48547,49939,50635,93,8,0,1,0,0,0,0,0,0,0,98564,1525260,654672,750437,1242122,512456,4783511,2,11350624
2110437,33441,22787,10654,4720,4624,4212,4203,5028,5270,5384,539,3246,9375,6031,10473,2046,14893,15560,206,2985,4850,7999,9438,4976,547043267,362451039,184592228,77699566,71662737,54260775,81349477,77478484,87420071,97172157,32102620,31456877,145413161,91194014,171456539,58571527,266403883,237651088,1914718,32400719,58653554,106099915,205264770,99721295,42,765082,348537,416546,106150,71683,84966,102852,131815,267613,143213,153336,103806,109618,158490,96621,107964,106655,106804,107809,106365,113529,115957,116,18,1,0,0,0,0,0,0,0,0,50578,609439,273705,300128,464245,181655,1879750,2,11350665
2110438,221795,157847,63948,28666,31987,31880,32226,33088,33435,30513,5656,11736,62694,34685,83503,23478,113305,99809,3777,51492,40751,46126,50675,20287,5050392222,3425235100,1625157122,591861317,666781057,674522017,725787841,766282868,878469982,746687140,179244819,113062334,1166260114,610314537,2163319927,817829018,2636889360,1991861123,63118093,1039281578,904085874,1022363575,1094961056,504940306,119,1332771,683412,649358,201478,387776,162739,158847,154043,267886,356008,261619,146777,151224,235182,181961,187294,187889,188857,188224,188581,195604,196320,230,33,1,1,0,0,0,0,0,0,0,19413,260880,128283,151034,219803,95524,874937,2,11350600
2110439,5169,3527,1642,737,672,738,641,739,901,741,39,517,1048,859,2040,666,2994,1993,6,247,638,936,1881,1278,135072476,90775684,44296792,18806501,18109785,21478507,12732262,19648629,26107812,18188980,1523774,6227292,21848292,20098717,62007675,23366726,83713341,44128592,23318,4118884,14325836,26645088,49529189,33199617,22,809923,376421,433503,85505,89555,90996,109581,146099,288187,251748,165881,78885,75975,121445,115988,116688,113812,114043,113749,113507,117884,120240,63,9,1,0,0,0,0,0,0,0,0,48036,583423,253951,274258,427342,163959,1750969,2,11350665
2110440,3606,2328,1278,401,523,479,401,524,509,769,0,107,1481,446,1171,0,1735,1455,45,186,403,882,837,836,80575023,47774981,32800042,6640121,8535098,10846046,6640121,15113595,12586959,20213083,0,1448194,29857438,15021156,27608114,0,36734055,32825454,294191,3573571,8532177,16420357,18097984,22641229,2,179439,83082,96357,21599,18477,19485,24157,30570,65152,44774,35844,20944,22629,31851,23396,25415,24803,24823,24845,24568,26943,28044,49,6,0,1,0,0,0,0,0,0,0,47497,578405,251320,271742,424145,163112,1736221,2,11350665
2110441,79994,56742,23252,10757,11724,11089,10826,12346,13700,9552,61,10295,20056,17768,25976,5838,34293,44097,2638,9997,10553,27036,21221,6955,898465611,609616507,288849104,110520770,120263775,115785876,119471275,143574811,177412010,111437094,3943750,87641218,198219938,163408261,333403263,111849181,407676240,447615106,17812475,95462059,102209169,297665305,246445193,95697142,48,545441,232859,312583,179005,50083,44008,99124,87765,85456,132727,115045,72114,71464,91066,63024,76993,77038,76527,76116,76112,79413,83243,172,10,0,0,0,0,0,0,0,0,0,8666,125290,45387,60039,67422,29423,336227,2,11350619
